County,Female Obseity Prevalence (%),Male Obseity Prevalence (%),Female Binary HIgh/Low (National),Male Binary HIgh/Low (National),Female Binary HIgh/Low (Michigan),Male Binary HIgh/Low (Michigan)
Alcona,39.1,38.2,1,1,0,1
Alger,38.1,38.1,1,1,0,1
Allegan,39.2,36.2,1,1,0,0
Alpena,37.6,36.3,1,1,0,0
Antrim,37.8,33.2,1,0,0,0
Arenac,42.6,41.6,1,1,1,1
Baraga,38.7,39.7,1,1,0,1
Barry,42.8,38.4,1,1,1,1
Bay,40.4,42.1,1,1,1,1
Benzie,35,33.6,0,0,0,0
Berrien,40.4,39.1,1,1,1,1
Branch,41.4,40,1,1,1,1
Calhoun ,44.6,39.8,1,1,1,1
Cass,40.4,36,1,1,1,0
Charlevoix,34.9,32.8,0,0,0,0
Cheboygan,39.5,39.2,1,1,1,1
Chippewa,39.7,39.8,1,1,1,1
Clare,39.6,40,1,1,1,1
Clinton,38.8,39.1,1,1,0,1
Crawford,40.2,36.7,1,1,1,1
Delta,38.3,37.6,1,1,0,1
Dickinson,32.5,36.2,0,1,0,0
Eaton,40.9,39.7,1,1,1,1
Emmet,35.1,33.3,0,0,0,0
Genesse,46.2,41.1,1,1,1,1
Gladwin,40.8,41.41,1,1,1,1
Gogebic,34.1,35.8,0,1,0,0
Grand Traverse,34.7,31.6,0,0,0,0
Gratiot,45.1,41.3,1,1,1,1
Hillsdale,39.9,40.3,1,1,1,1
Houghton,32.7,34.5,0,1,0,0
Huron,36.8,39.3,1,1,0,1
Ingham,39.2,35.1,1,1,0,0
Ionia,44.7,40.2,1,1,1,1
Iosco,41.2,39.5,1,1,1,1
Iron,34.7,36.9,0,1,0,1
Isabella,39.3,40.5,1,1,0,1
Jackson,41.8,40.4,1,1,1,1
Kalamazoo,38.4,34.2,1,1,0,0
Kalkaska,38.9,35.6,1,1,0,0
Kent,38.1,35.7,1,1,0,0
Keweenaw,30.3,35.1,0,1,0,0
Lake,45.6,40.9,1,1,1,1
Lapeer,40,39.4,1,1,1,1
Leelanau,33,32.3,0,0,0,0
Lenawee,39.5,38.5,1,1,1,0
Livingston,33,35.3,0,1,0,0
Luce,38.8,38.5,1,1,0,1
Mackinac,38,37.7,1,1,0,0
Macomb,38.2,36,1,1,0,0
Manistee,37,34.1,1,1,0,0
Marquette,35.5,36.6,0,1,0,1
Mason,38,37.4,1,1,0,1
Mecosta,38.6,38.4,1,1,0,1
Menominee,37.4,39.6,1,1,0,1
Midland,36.2,39,1,1,0,1
Missaukee,40.6,37.7,1,1,1,1
Monroe,41.4,41.8,1,1,1,1
Montcalm,40.9,39.5,1,1,1,1
Montmorency,39.9,38.3,1,1,1,1
Muskegon,43.6,37.3,1,1,1,1
Newaygo,41.2,39.9,1,1,1,1
Oakland,32.9,31.7,0,0,0,0
Oceana,42.5,40.2,1,1,1,1
Ogemaw,40.5,39,1,1,1,1
Ontonagon,32.7,34.7,0,1,0,0
Osceola,39.4,40.1,1,1,1,1
Oscoda,41.8,39.7,1,1,1,1
Ostego,35.5,34.6,0,1,0,0
Ottawa,34,33.6,0,0,0,0
Presque Isle,39.2,39.7,1,1,0,1
Roscommon,41,38,1,1,1,1
Saginaw,47.5,42.2,1,1,1,1
Saint Clair,38.7,37.9,1,1,0,1
Saint Joseph,43.2,35.8,1,1,1,0
Sanilac,39.3,40.2,1,1,0,1
Schoolcraft,38.3,37.3,1,1,0,1
Shiawassee,43.3,38.8,1,1,1,1
Tuscola,39.3,42.4,1,1,0,1
Van Buren,40.2,36.3,1,1,1,0
Washtenaw,29.6,27,0,0,0,0
Wayne,44.5,38.1,1,1,1,1
Wexford,39.5,35.1,1,1,1,0
